city_of_stop,city_name,city_postal,city_count,city_geo
UND,Underhill,05489,252,"{'place_id': 331059426, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.546079530925326', 'lon': '-72.91168223498377', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05489', 'display_name': 'Underhill, Chittenden County, 05489, Vermont, United States', 'boundingbox': ['44.3860795', '44.7060795', '-73.0716822', '-72.7516822']}"
FAI,Fairfax,05454,246,"{'place_id': 331059398, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.686997628', 'lon': '-73.025889258', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05454', 'display_name': 'Fairfax, Franklin County, 05454, Vermont, United States', 'boundingbox': ['44.5269976', '44.8469976', '-73.1858893', '-72.8658893']}"
NFN,Newfane,05345,237,"{'place_id': 331059364, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.97383891518692', 'lon': '-72.66717368995327', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05345', 'display_name': 'Newfane, Windham County, 05345, Vermont, United States', 'boundingbox': ['42.8138389', '43.1338389', '-72.8271737', '-72.5071737']}"
MON,Montpelier,05601,236,"{'place_id': 331091495, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.348515', 'lon': '-72.41812', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05601', 'display_name': 'Calais, Washington County, 05601, Vermont, United States', 'boundingbox': ['44.1885150', '44.5085150', '-72.5781200', '-72.2581200']}"
POW,Pownal,05261,235,"{'place_id': 331059355, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.774809827735844', 'lon': '-73.23666763622641', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05261', 'display_name': 'Pownal, Bennington County, 05261, Vermont, United States', 'boundingbox': ['42.6148098', '42.9348098', '-73.3966676', '-73.0766676']}"
COV,Coventry,05825,218,"{'place_id': 331059520, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.8693353', 'lon': '-72.26515351666666', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05825', 'display_name': 'Coventry, Orleans County, 05825, Vermont, United States', 'boundingbox': ['44.7093353', '45.0293353', '-72.4251535', '-72.1051535']}"
CHR,Chester,05143,214,""
WET,Weathersfield,05156,207,"{'place_id': 331059341, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.304562088372094', 'lon': '-72.49093284930233', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05156', 'display_name': 'Springfield, Windsor County, 05156, Vermont, United States', 'boundingbox': ['43.1445621', '43.4645621', '-72.6509328', '-72.3309328']}"
SAC,St Albans City,05478,207,""
WRT,West Rutland,05777,200,"{'place_id': 331059511, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.58987965671233', 'lon': '-73.04887916273972', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05777', 'display_name': 'West Rutland, Rutland County, 05777, Vermont, United States', 'boundingbox': ['43.4298797', '43.7498797', '-73.2088792', '-72.8888792']}"
SAL,Salisbury,05769,196,"{'place_id': 331059504, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.917463288739945', 'lon': '-73.09200233994638', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05769', 'display_name': 'Salisbury, Addison County, 05769, Vermont, United States', 'boundingbox': ['43.7574633', '44.0774633', '-73.2520023', '-72.9320023']}"
BRL,Bristol,05443,194,"{'place_id': 331059391, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.15174966616767', 'lon': '-73.03199909670658', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05443', 'display_name': 'Lincoln, Addison County, 05443, Vermont, United States', 'boundingbox': ['43.9917497', '44.3117497', '-73.1919991', '-72.8719991']}"
WHV,West Haven,05743,189,"{'place_id': 331059484, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.662423765759634', 'lon': '-73.30187287120181', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05743', 'display_name': 'West Haven, Rutland County, 05743, Vermont, United States', 'boundingbox': ['43.5024238', '43.8224238', '-73.4618729', '-73.1418729']}"
BRT,Barnet,05821,185,"{'place_id': 331059516, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.30709178240741', 'lon': '-72.09579748148148', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05821', 'display_name': 'Barnet, Caledonia County, 05821, Vermont, United States', 'boundingbox': ['44.1470918', '44.4670918', '-72.2557975', '-71.9357975']}"
BC,Barre City,05641,183,"{'place_id': 331059436, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.193033587523885', 'lon': '-72.49412832036684', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05641', 'display_name': 'Barre City, Washington County, 05641, Vermont, United States', 'boundingbox': ['44.0330336', '44.3530336', '-72.6541283', '-72.3341283']}"
PFD,Pittsford,05763,183,"{'place_id': 331059498, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.70598851444445', 'lon': '-73.01653313185186', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05763', 'display_name': 'Pittsford, Rutland County, 05763, Vermont, United States', 'boundingbox': ['43.5459885', '43.8659885', '-73.1765331', '-72.8565331']}"
ARL,Arlington,05250,182,"{'place_id': 331059347, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.10924433977901', 'lon': '-73.16624690662984', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05250', 'display_name': 'Arlington, Bennington County, 05250, Vermont, United States', 'boundingbox': ['42.9492443', '43.2692443', '-73.3262469', '-73.0062469']}"
WTF,Waterford,05819,180,"{'place_id': 331059514, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.42157188062284', 'lon': '-71.99459212076125', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05819', 'display_name': 'Saint Johnsbury, Caledonia County, 05819, Vermont, United States', 'boundingbox': ['44.2615719', '44.5815719', '-72.1545921', '-71.8345921']}"
NRW,Norwich,05055,176,"{'place_id': 331059300, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.7392138852552', 'lon': '-72.30727073692502', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05055', 'display_name': 'Norwich, Windsor County, 05055, Vermont, United States', 'boundingbox': ['43.5792139', '43.8992139', '-72.4672707', '-72.1472707']}"
FHA,Fair Haven,05743,176,"{'place_id': 331059484, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.662423765759634', 'lon': '-73.30187287120181', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05743', 'display_name': 'West Haven, Rutland County, 05743, Vermont, United States', 'boundingbox': ['43.5024238', '43.8224238', '-73.4618729', '-73.1418729']}"
SHN,Sheldon,05455,169,"{'place_id': 331059399, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.810979251999996', 'lon': '-72.96001199199999', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05455', 'display_name': 'Fairfield, Franklin County, 05455, Vermont, United States', 'boundingbox': ['44.6509793', '44.9709793', '-73.1200120', '-72.8000120']}"
LOW,Lowell,05847,161,"{'place_id': 331059538, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.79262990744681', 'lon': '-72.44644468829787', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05847', 'display_name': 'Lowell, Orleans County, 05847, Vermont, United States', 'boundingbox': ['44.6326299', '44.9526299', '-72.6064447', '-72.2864447']}"
FRF,Fairfield,05455,157,""
MOR,Moretown,05660,155,"{'place_id': 331059449, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.25458976188524', 'lon': '-72.72860164631147', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05660', 'display_name': 'Moretown, Washington County, 05660, Vermont, United States', 'boundingbox': ['44.0945898', '44.4145898', '-72.8886016', '-72.5686016']}"
ADD,Addison,05491,149,"{'place_id': 331059428, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.13289177319587', 'lon': '-73.26655160979382', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05491', 'display_name': 'Panton, Addison County, 05491, Vermont, United States', 'boundingbox': ['43.9728918', '44.2928918', '-73.4265516', '-73.1065516']}"
MKT,Monkton,05469,146,"{'place_id': 331059411, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.24350255', 'lon': '-73.12787935', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05469', 'display_name': 'Monkton, Addison County, 05469, Vermont, United States', 'boundingbox': ['44.0835026', '44.4035025', '-73.2878793', '-72.9678794']}"
MTT,Mt Tabor,05739,136,"{'place_id': 331059480, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.34599322868526', 'lon': '-73.00111270956175', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05739', 'display_name': 'Danby, Rutland County, 05739, Vermont, United States', 'boundingbox': ['43.1859932', '43.5059932', '-73.1611127', '-72.8411127']}"
JOH,Johnson,05656,134,"{'place_id': 331059446, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.64275798593634', 'lon': '-72.66872587091044', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05656', 'display_name': 'Johnson, Lamoille County, 05656, Vermont, United States', 'boundingbox': ['44.4827580', '44.8027580', '-72.8287259', '-72.5087259']}"
SHO,Shoreham,05770,134,"{'place_id': 331059505, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.87627043691756', 'lon': '-73.32181645089607', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05770', 'display_name': 'Shoreham, Addison County, 05770, Vermont, United States', 'boundingbox': ['43.7162704', '44.0362704', '-73.4818165', '-73.1618165']}"
WSR,Windsor,05089,133,"{'place_id': 331059325, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.46664970979478', 'lon': '-72.41999851921642', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05089', 'display_name': 'Windsor, Windsor County, 05089, Vermont, United States', 'boundingbox': ['43.3066497', '43.6266497', '-72.5799985', '-72.2599985']}"
BLT,Bolton,05477,133,"{'place_id': 331059417, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.39678460219123', 'lon': '-72.96237013386454', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05477', 'display_name': 'Richmond, Chittenden County, 05477, Vermont, United States', 'boundingbox': ['44.2367846', '44.5567846', '-73.1223701', '-72.8023701']}"
BRD,Bridport,05734,129,"{'place_id': 331059475, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.98138855', 'lon': '-73.3306800875', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05734', 'display_name': 'Bridport, Addison County, 05734, Vermont, United States', 'boundingbox': ['43.8213886', '44.1413885', '-73.4906801', '-73.1706801']}"
NPT,Newport,05855,129,"{'place_id': 331059543, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.93187729164179', 'lon': '-72.20389458626865', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05855', 'display_name': 'Newport City, Orleans County, 05855, Vermont, United States', 'boundingbox': ['44.7718773', '45.0918773', '-72.3638946', '-72.0438946']}"
MAR,Marlboro,05344,126,"{'place_id': 331059363, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.842138', 'lon': '-72.73599770833334', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05344', 'display_name': 'Marlboro, Windham County, 05344, Vermont, United States', 'boundingbox': ['42.6821380', '43.0021380', '-72.8959977', '-72.5759977']}"
ESS,Essex,05451,126,"{'place_id': 350999826, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'way', 'osm_id': 19713389, 'lat': '44.96848649449829', 'lon': '-72.31533339168809', 'class': 'place', 'type': 'house', 'place_rank': 30, 'importance': 9.999999994736442e-08, 'addresstype': 'place', 'name': '', 'display_name': '5451, Vermont Route 105, Newport Center, Newport Town, Orleans County, Vermont, 05857, United States', 'boundingbox': ['44.9684365', '44.9685365', '-72.3153834', '-72.3152834']}"
WFD,Westfield,05874,120,"{'place_id': 331059555, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.87873171916933', 'lon': '-72.43708350095847', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05874', 'display_name': 'Westfield, Orleans County, 05874, Vermont, United States', 'boundingbox': ['44.7187317', '45.0387317', '-72.5970835', '-72.2770835']}"
STG,St George,05495,118,"{'place_id': 21524099, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'osm_type': 'relation', 'osm_id': 1610005, 'lat': '44.4737365', 'lon': '-73.19414679705882', 'class': 'amenity', 'type': 'university', 'place_rank': 30, 'importance': 0.5003262060064201, 'addresstype': 'amenity', 'name': 'University of Vermont', 'display_name': 'University of Vermont, East Avenue, Burlington, Chittenden County, Vermont, 05404, United States', 'boundingbox': ['44.4656950', '44.4855380', '-73.2034485', '-73.1860314']}"
JEF,Jeffersonville,05464,117,"{'place_id': 331059408, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.63721449261745', 'lon': '-72.82522469328859', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05464', 'display_name': 'Cambridge, Lamoille County, 05464, Vermont, United States', 'boundingbox': ['44.4772145', '44.7972145', '-72.9852247', '-72.6652247']}"
BRK,Brookfield,05036,114,"{'place_id': 331059284, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.02927267692308', 'lon': '-72.57114880576923', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05036', 'display_name': 'Brookfield, Orange County, 05036, Vermont, United States', 'boundingbox': ['43.8692727', '44.1892727', '-72.7311488', '-72.4111488']}"
WLR,Wells River,05081,107,"{'place_id': 331059319, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.149231984324324', 'lon': '-72.06739658108108', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05081', 'display_name': 'Wells River, Newbury, Orange County, 05081, Vermont, United States', 'boundingbox': ['43.9892320', '44.3092320', '-72.2273966', '-71.9073966']}"
SKB,Stockbridge,05772,105,"{'place_id': 331059506, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.772031237433154', 'lon': '-72.75014961871658', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05772', 'display_name': 'Stockbridge, Windsor County, 05772, Vermont, United States', 'boundingbox': ['43.6120312', '43.9320312', '-72.9101496', '-72.5901496']}"
MSV,Morrisville,05661,104,"{'place_id': 331059450, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.56070534065525', 'lon': '-72.60497517781087', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05661', 'display_name': 'Morristown, Lamoille County, 05661, Vermont, United States', 'boundingbox': ['44.4007053', '44.7207053', '-72.7649752', '-72.4449752']}"
WAL,Wallingford,05773,103,"{'place_id': 331059507, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.4507436118677', 'lon': '-72.99942923054475', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05773', 'display_name': 'Wallingford, Rutland County, 05773, Vermont, United States', 'boundingbox': ['43.2907436', '43.6107436', '-73.1594292', '-72.8394292']}"
POU,Poultney,05741,102,"{'place_id': 331059482, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.5262747', 'lon': '-73.204856', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05741', 'display_name': 'Poultney, Rutland County, 05741, Vermont, United States', 'boundingbox': ['43.3662747', '43.6862747', '-73.3648560', '-73.0448560']}"
LUD,Ludlow,05149,100,"{'place_id': 331059334, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.40645925021097', 'lon': '-72.70441697172996', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05149', 'display_name': 'Ludlow, Windsor County, 05149, Vermont, United States', 'boundingbox': ['43.2464593', '43.5664593', '-72.8644170', '-72.5444170']}"
DUX,Duxbury,05676,99,"{'place_id': 331059462, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.32787115473373', 'lon': '-72.76520766775148', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05676', 'display_name': 'Duxbury, Washington County, 05676, Vermont, United States', 'boundingbox': ['44.1678712', '44.4878712', '-72.9252077', '-72.6052077']}"
BKE,Burke,05871,99,"{'place_id': 331059552, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.685938047440274', 'lon': '-71.9630958556314', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05871', 'display_name': 'Newark, Caledonia County, 05871, Vermont, United States', 'boundingbox': ['44.5259380', '44.8459380', '-72.1230959', '-71.8030959']}"
IRA,Ira,05777,95,"{'place_id': 331059511, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.58987965671233', 'lon': '-73.04887916273972', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05777', 'display_name': 'West Rutland, Rutland County, 05777, Vermont, United States', 'boundingbox': ['43.4298797', '43.7498797', '-73.2088792', '-72.8888792']}"
WSD,Westford,05494,93,"{'place_id': 331059431, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.62050783036649', 'lon': '-73.02256031780105', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05494', 'display_name': 'Westford, Chittenden County, 05494, Vermont, United States', 'boundingbox': ['44.4605078', '44.7805078', '-73.1825603', '-72.8625603']}"
NBE,North Bennington,05257,92,"{'place_id': 331059353, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.92280908181818', 'lon': '-73.23335630909091', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05257', 'display_name': 'North Bennington, Bennington, Bennington County, 05257, Vermont, United States', 'boundingbox': ['42.7628091', '43.0828091', '-73.3933563', '-73.0733563']}"
HIG,Highgate,05459,92,"{'place_id': 331059403, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.946226612765955', 'lon': '-73.02777302978723', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05459', 'display_name': 'Highgate, Franklin County, 05459, Vermont, United States', 'boundingbox': ['44.7862266', '45.1062266', '-73.1877730', '-72.8677730']}"
CAB,Cabot,05647,92,"{'place_id': 331059437, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.40223608035714', 'lon': '-72.29692823392857', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05647', 'display_name': 'Cabot, Washington County, 05647, Vermont, United States', 'boundingbox': ['44.2422361', '44.5622361', '-72.4569282', '-72.1369282']}"
CHN,Charleston,05833,90,"{'place_id': 331059527, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.82195845', 'lon': '-72.00609288999999', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05833', 'display_name': 'Charleston, Orleans County, 05833, Vermont, United States', 'boundingbox': ['44.6619585', '44.9819584', '-72.1660929', '-71.8460929']}"
BUR,Burlington,05401,87,"{'place_id': 331059380, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.47473160884521', 'lon': '-73.21116278820638', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05401', 'display_name': 'Burlington, Chittenden County, 05401, Vermont, United States', 'boundingbox': ['44.3147316', '44.6347316', '-73.3711628', '-73.0511628']}"
VRN,Vernon,05354,86,"{'place_id': 331059370, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '42.761404037522766', 'lon': '-72.51879856848815', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05354', 'display_name': 'Vernon, Windham County, 05354, Vermont, United States', 'boundingbox': ['42.6014040', '42.9214040', '-72.6787986', '-72.3587986']}"
RUP,Rupert,05768,85,"{'place_id': 331059503, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.2588899', 'lon': '-73.2247182', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05768', 'display_name': 'Rupert, Bennington County, 05768, Vermont, United States', 'boundingbox': ['43.0988899', '43.4188899', '-73.3847182', '-73.0647182']}"
CAV,Cavendish,05142,83,"{'place_id': 331059330, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.4006601125', 'lon': '-72.59076264444444', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05142', 'display_name': 'Cavendish, Windsor County, 05142, Vermont, United States', 'boundingbox': ['43.2406601', '43.5606601', '-72.7507626', '-72.4307626']}"
BOL,Bolton,05465,80,""
HYD,Hyde Park,05655,80,"{'place_id': 331059445, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.61966374374563', 'lon': '-72.5958867583508', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05655', 'display_name': 'Hyde Park, Lamoille County, 05655, Vermont, United States', 'boundingbox': ['44.4596637', '44.7796637', '-72.7558868', '-72.4358868']}"
VSH,Vershire,05079,80,"{'place_id': 331059318, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.95672236162162', 'lon': '-72.32271023837838', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05079', 'display_name': 'Vershire, Orange County, 05079, Vermont, United States', 'boundingbox': ['43.7967224', '44.1167224', '-72.4827102', '-72.1627102']}"
ORW,Orwell,05760,79,"{'place_id': 331059495, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.80423695762712', 'lon': '-73.29235537966102', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05760', 'display_name': 'Orwell, Addison County, 05760, Vermont, United States', 'boundingbox': ['43.6442370', '43.9642370', '-73.4523554', '-73.1323554']}"
BRN,Brandon,05733,77,"{'place_id': 331059474, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '43.819082085714285', 'lon': '-73.10223106930502', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05733', 'display_name': 'Brandon, Rutland County, 05733, Vermont, United States', 'boundingbox': ['43.6590821', '43.9790821', '-73.2622311', '-72.9422311']}"
BKS,Berkshire,05447,76,"{'place_id': 331091492, 'licence': 'Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright', 'lat': '44.924045', 'lon': '-72.6792959', 'class': 'place', 'type': 'postcode', 'place_rank': 21, 'importance': 0.22500009999999993, 'addresstype': 'postcode', 'name': '05447', 'display_name': 'Enosburgh, Franklin County, 05447, Vermont, United States', 'boundingbox': ['44.7640450', '45.0840450', '-72.8392959', '-72.5192959']}"
